feature,importance
feature_10,0.21761942135888673
feature_7,0.18304539037950632
feature_6,0.16082300697544802
feature_3,0.1231003002997476
feature_13,0.06380112983565757
feature_5,0.055121044398194825
feature_9,0.04955925126155398
feature_0,0.02746082321336068
feature_4,0.024435752405710328
feature_8,0.022209192501963692
feature_2,0.014825932315276846
feature_12,0.011766428341544054
feature_15,0.009902965776907508
feature_18,0.008303143267569191
feature_14,0.007399947599748904
feature_16,0.007183568835634849
feature_1,0.006666244824294483
feature_17,0.006057443202878543
feature_11,0.0007190132061159572
